Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.3790E+03 .1156E+01 .5264E+00 .4074E+00 .9338E+00 .5264E+00 .0000E+00 .2896E+00 .2896E+00 .5525E+14 .1004E+15 .7772E+14 .2064E+17 .1164E+17 .9005E+16 .6402E+16
.3800E+03 .1097E+01 .5018E+00 .3847E+00 .8865E+00 .5018E+00 .0000E+00 .2738E+00 .2738E+00 .5238E+14 .9599E+14 .7360E+14 .1975E+17 .1118E+17 .8572E+16 .6100E+16
.3810E+03 .1326E+01 .6105E+00 .4644E+00 .1075E+01 .6105E+00 .0000E+00 .3308E+00 .3308E+00 .6344E+14 .1171E+15 .8907E+14 .2414E+17 .1371E+17 .1043E+17 .7427E+16
.3820E+03 .9294E+00 .4306E+00 .3251E+00 .7557E+00 .4306E+00 .0000E+00 .2317E+00 .2317E+00 .4456E+14 .8281E+14 .6251E+14 .1710E+17 .9747E+16 .7358E+16 .5244E+16
.3830E+03 .7305E+00 .3406E+00 .2551E+00 .5957E+00 .3406E+00 .0000E+00 .1820E+00 .1820E+00 .3508E+14 .6566E+14 .4919E+14 .1359E+17 .7768E+16 .5819E+16 .4151E+16
.3840E+03 .7739E+00 .3627E+00 .2694E+00 .6322E+00 .3627E+00 .0000E+00 .1924E+00 .1924E+00 .3719E+14 .7012E+14 .5209E+14 .1453E+17 .8339E+16 .6195E+16 .4423E+16
.3850E+03 .1126E+01 .5305E+00 .3909E+00 .9213E+00 .5305E+00 .0000E+00 .2793E+00 .2793E+00 .5413E+14 .1028E+15 .7576E+14 .2135E+17 .1229E+17 .9057E+16 .6471E+16
.3860E+03 .8952E+00 .4242E+00 .3102E+00 .7344E+00 .4242E+00 .0000E+00 .2218E+00 .2218E+00 .4310E+14 .8243E+14 .6027E+14 .1715E+17 .9906E+16 .7243E+16 .5180E+16
.3870E+03 .9746E+00 .4643E+00 .3368E+00 .8011E+00 .4643E+00 .0000E+00 .2411E+00 .2411E+00 .4696E+14 .9046E+14 .6562E+14 .1885E+17 .1093E+17 .7926E+16 .5673E+16
.3880E+03 .1009E+01 .4829E+00 .3475E+00 .8304E+00 .4829E+00 .0000E+00 .2489E+00 .2489E+00 .4862E+14 .9433E+14 .6787E+14 .1969E+17 .1145E+17 .8241E+16 .5903E+16
.3890E+03 .1074E+01 .5167E+00 .3688E+00 .8855E+00 .5167E+00 .0000E+00 .2644E+00 .2644E+00 .5178E+14 .1012E+15 .7222E+14 .2116E+17 .1235E+17 .8815E+16 .6320E+16
.3900E+03 .1302E+01 .6296E+00 .4459E+00 .1076E+01 .6296E+00 .0000E+00 .3200E+00 .3200E+00 .6283E+14 .1236E+15 .8755E+14 .2591E+17 .1516E+17 .1074E+17 .7707E+16
.3910E+03 .1407E+01 .6838E+00 .4806E+00 .1164E+01 .6838E+00 .0000E+00 .3451E+00 .3451E+00 .6793E+14 .1346E+15 .9459E+14 .2826E+17 .1660E+17 .1166E+17 .8377E+16
.3920E+03 .1207E+01 .5892E+00 .4107E+00 .9998E+00 .5892E+00 .0000E+00 .2952E+00 .2952E+00 .5826E+14 .1163E+15 .8104E+14 .2445E+17 .1441E+17 .1004E+17 .7220E+16
.3930E+03 .5993E+00 .2941E+00 .2035E+00 .4976E+00 .2941E+00 .0000E+00 .1464E+00 .1464E+00 .2897E+14 .5819E+14 .4026E+14 .1226E+17 .7249E+16 .5016E+16 .3608E+16
.3940E+03 .8843E+00 .4361E+00 .2994E+00 .7355E+00 .4361E+00 .0000E+00 .2156E+00 .2156E+00 .4276E+14 .8650E+14 .5939E+14 .1827E+17 .1083E+17 .7436E+16 .5354E+16
